date,location,change
2020-09-25,Dublin 11,-7.06
2020-09-25,Waterford,-10.0
2020-09-25,Cork City,-3.05
2020-09-25,Meath,-2.89
2020-09-25,Louth,-4.27
2020-09-25,Louth,-2.9
2020-09-25,Limerick City,11.11
2020-09-25,Mayo,-6.25
2020-09-25,Wicklow,-2.78
2020-09-25,Co. Mayo,-8.0
2020-09-25,Wicklow,-18.18
2020-09-25,West Cork,-9.55
2020-09-25,Dublin 5,7.14
2020-09-25,West Cork,-20.8
2020-09-25,Co. Kildare,7.5
2020-09-24,Co. Limerick,-5.77
2020-09-24,P51 XY10,-5.14
2020-09-24,P51 C9E2,-11.65
2020-09-24,Wexford,5.26
2020-09-24,County Down,-47.83
2020-09-24,Cavan,10.0
2020-09-24,Dublin 4,-8.33
2020-09-24,Dublin 5,-3.45
2020-09-24,Roscommon,-16.67
2020-09-24,Wexford,-10.91
2020-09-24,Donegal,-5.78
2020-09-24,Louth,-1.8
2020-09-24,County Dublin,-5.08
2020-09-24,E32X761,8.0
2020-09-24,Y35 H5X2,-10.61
2020-09-24,Mayo,-4.4
2020-09-24,Co. Kildare,-3.86
2020-09-24,Greenpark West,-4.76
2020-09-24,Meath,-6.06
2020-09-24,Cavan,-1.0
2020-09-24,Cork,22.22
2020-09-23,Co. Limerick,-10.26
2020-09-23,Westmeath,-2.38
2020-09-23,N37A6R9,-7.81
2020-09-23,X91 A0C9,-3.93
2020-09-23,Dublin 12,-4.12
2020-09-23,Dublin 8,-6.25
2020-09-23,Dublin 15,-5.28
2020-09-23,Cashel,2.7
2020-09-23,Clonteens,-5.86
2020-09-23,Sligo,-8.7
2020-09-23,Waterford,-5.88
2020-09-23,H54 YR53,-2.26
2020-09-23,Wicklow,-3.26
2020-09-23,Co. Kildare,-7.54
2020-09-23,Dublin 2,-4.05
2020-09-23,Westmeath,18.52
2020-09-23,F45 WK53,5.56
2020-09-23,Donegal,40.0
2020-09-23,R14 DX57,-4.78
2020-09-23,Galway,-8.3
2020-09-23,Donegal,-5.1
2020-09-23,Mayo,-44.44
2020-09-23,Tipperary,-8.57
2020-09-23,Donegal,-30.77
2020-09-23,Cork City,-2.56
2020-09-23,Kilkenny,-64.29
2020-09-23,Waterford,2.08
2020-09-23,Tipperary,-6.88
2020-09-23,Kildare,-3.08
2020-09-23,Dublin 12,-7.06
2020-09-23,Donegal,-1.75
2020-09-23,Wicklow,-1.54
2020-09-23,Dublin 15,9.09
2020-09-22,Co. Limerick,-7.14
2020-09-22,Wicklow,-24.0
2020-09-22,Wexford,-1.76
2020-09-22,Dublin 12,-10.34
2020-09-22,Dublin 6W,-8.33
2020-09-22,Dublin 14,-2.88
2020-09-22,Dublin 6W,-8.33
2020-09-22,Dublin 8,-5.66
2020-09-22,Co. Limerick,-20.0
2020-09-22,Wicklow,-7.89
2020-09-22,Crumlin,-3.57
2020-09-22,Dublin 11,-6.93
2020-09-22,Dublin 11,-3.39
2020-09-22,Cavan,-37.5
2020-09-22,Limerick,-21.43
2020-09-22,Dublin 4,-8.31
2020-09-22,Dublin 14,-19.18
2020-09-22,Co. Dublin K32 W084,-4.79
2020-09-22,Dublin 9,-6.24
2020-09-22,Cork,-17.72
2020-09-22,Dublin 6,-5.06
2020-09-22,Dublin 4,-10.32
2020-09-22,Westmeath,2.33
2020-09-22,Dublin 24,-3.51
2020-09-22,Sligo,-7.41
2020-09-22,Dublin,-5.41
2020-09-22,Galway,-3.26
2020-09-22,County Dublin,-4.13
2020-09-22,Galway,-5.88
2020-09-22,Dublin,-6.38
2020-09-22,Galway,-3.77
2020-09-22,E34 EH21,-11.56
2020-09-22,Co. Dublin,-6.0
2020-09-22,West Cork,-8.16
2020-09-21,Dublin,-6.05
2020-09-21,Co. Waterford,7.75
2020-09-21,V93 XW27,5.13
2020-09-21,Co Limerick,-12.73
2020-09-21,Co. Wicklow,-3.51
2020-09-21,H54 TD28,-13.04
2020-09-21,Donegal,-6.7
2020-09-21,Carlow,-3.75
2020-09-21,Wexford,2.41
2020-09-21,Galway,-2.94
2020-09-21,Donegal,-8.8
2020-09-21,Cork,-8.0
2020-09-21,Carlow,-3.75
2020-09-21,Limerick,-31.82
2020-09-21,Kerry,-4.88
2020-09-21,Mayo,-2.23
2020-09-21,D24 NH66,-3.45
2020-09-21,Longford,-3.85
2020-09-21,Galway,1.47
2020-09-21,Galway,-0.72
2020-09-21,Galway,1.47
2020-09-21,Dublin,0.65
2020-09-21,Co. Kildare,3.03
2020-09-21,Galway City,-5.45
2020-09-21,Kerry,-12.5
2020-09-21,Longford,-3.14
2020-09-21,Meath,-9.71
2020-09-21,Kildare,-7.06
2020-09-21,Kildare,-7.69
2020-09-21,Dublin,-3.51
2020-09-21,Kilkenny,-3.11
2020-09-21,Co. Dublin,-10.0
2020-09-21,Galway,2.33
2020-09-21,Mayo,35.14
2020-09-21,Donegal,-2.73
2020-09-21,Limerick,1.72
2020-09-21,Cork,12.5
2020-09-21,Dublin 6,-4.92
2020-09-20,Dublin 7,1.52
2020-09-20,Dublin 15,12.24
2020-09-19,West Cork,-8.0
2020-09-19,Cork,-8.89
2020-09-19,Co. Waterford,-8.06
2020-09-18,P51 YV26,-10.81
2020-09-18,Dublin 6,-7.14
2020-09-18,Dublin 4,-4.38
2020-09-18,West Cork,25.0
2020-09-18,Wicklow,-6.52
2020-09-18,Co. Kildare,-7.59
2020-09-18,Dublin 6,-4.08
2020-09-18,Longford,-4.55
2020-09-18,County Dublin,-3.85
2020-09-18,County Dublin,-1.93
2020-09-18,Louth,-3.57
2020-09-18,N37 HD56,-23.75
2020-09-18,Dublin,4.29
2020-09-18,Clare,-14.04
2020-09-18,Waterford,-3.43
2020-09-18,R32HEF6,-2.5
2020-09-18,R95 Y2V9,-3.23
2020-09-18,Wicklow,-0.33
2020-09-18,Dublin 8,-5.48
2020-09-18,Carlow,-10.0
2020-09-18,Tipperary,-14.49
2020-09-18,Carlow,8.33
2020-09-18,Wexford,22.22
2020-09-18,Dublin 7,-14.29
2020-09-18,Waterford,-13.33
2020-09-18,County Dublin,-3.13
2020-09-18,Dublin 14,-3.64
2020-09-18,Tipperary,-6.25
2020-09-18,Mayo,50.0
2020-09-17,Wicklow,2.9
2020-09-17,Dublin 3 DO3 EOKO,6.67
2020-09-17,D18 V3K0,-10.0
2020-09-17,Roscommon,16.95
2020-09-17,Waterford,-12.06
2020-09-17,Louth,-16.84
2020-09-17,Co Westmeath,-8.21
2020-09-17,Co Donegal,-8.89
2020-09-17,Kilkenny,-3.33
2020-09-17,Dublin 8,-1.85
2020-09-17,Co. Limerick,-7.42
2020-09-17,Westmeath,-2.13
2020-09-17,Dublin 5,-11.76
2020-09-17,Clare,-15.71
2020-09-17,Donegal,-5.99
2020-09-17,Dublin 15,7.55
2020-09-17,Dublin 1,-11.39
2020-09-17,Dublin 12,-5.71
2020-09-17,Dublin 18,-5.03
2020-09-17,V92 X2HV,-4.08
2020-09-17,W91 P9W7,-2.7
2020-09-17,Wicklow,-12.5
2020-09-17,Meath,-12.0
2020-09-17,County Dublin,3.48
2020-09-17,Wicklow,-3.85
2020-09-17,Mayo,-2.38
2020-09-17,Roscommon,40.0
2020-09-17,Dublin 9,-4.88
2020-09-17,Dublin 8,8.57
2020-09-17,Dublin 24,-2.5
2020-09-16,Carlow,-4.44
2020-09-16,Dublin 24,-2.2
2020-09-16,Co. Dublin,1.67
2020-09-16,Co. Dublin,5.06
2020-09-16,Galway,-3.24
2020-09-16,E21 Y827,-25.42
2020-09-16,Co. Dublin,-4.79
2020-09-16,Dublin 15,13.16
2020-09-16,N39 T0X9,18.75
2020-09-16,Co. Kildare,-30.0
2020-09-16,Limerick,-7.41
2020-09-16,Galway,-18.41
2020-09-16,Galway,-9.23
2020-09-16,Kilkenny,-17.14
2020-09-16,Dublin 9,-4.26
2020-09-16,Carlow,4.65
2020-09-16,Carlow,-4.44
2020-09-16,Galway,-25.0
2020-09-16,Wicklow,-2.63
2020-09-16,Cork,-3.64
2020-09-16,Co. Wexford,2.78
2020-09-16,Co. Wexford,4.35
2020-09-16,Co. Wexford,1.67
2020-09-16,Cork City,-2.13
2020-09-16,Co Carlow,6.38
2020-09-16,D24 CXH4,-5.45
2020-09-16,Co. Louth,6.67
2020-09-16,Dublin 9,-3.46
2020-09-16,Roscommon,-18.18
2020-09-16,Wicklow,-5.88
2020-09-16,Waterford,-3.05
2020-09-16,Wicklow,-9.09
2020-09-16,Cork,-4.26
2020-09-16,Dublin,-9.09
2020-09-15,Dublin 2,-3.9
2020-09-15,Co. Dublin,-7.69
2020-09-15,Westmeath,-4.62
2020-09-15,Dublin 4,2.17
2020-09-15,Dublin 6,-8.0
2020-09-15,Wicklow,-7.32
2020-09-15,Cavan,-2.61
2020-09-15,Wicklow,-1.89
2020-09-15,Wexford,-5.0
2020-09-15,Kerry,-13.91
2020-09-15,Dublin 18,-3.23
2020-09-15,Dublin,-4.35
2020-09-15,Dublin 9,-0.58
2020-09-15,Co. Dublin K34 T382,-6.47
2020-09-15,Dublin,-1.54
2020-09-15,Co. Kildare,21.95
2020-09-15,F28 Y0E4,-6.53
2020-09-15,Co. Meath,-1.52
2020-09-15,Sligo,20.0
2020-09-15,Mayo,-8.33
2020-09-15,Co. Limerick,-3.85
2020-09-15,Kildare,-5.88
2020-09-15,Meath,11.11
2020-09-15,Bagenalstown,-5.66
2020-09-15,Kilkenny,-5.41
2020-09-15,Meath,-3.85
2020-09-15,Co Clare,-13.75
2020-09-15,Offaly,5.0
2020-09-15,Mayo,17.24
2020-09-15,Co. Mayo,20.0
2020-09-15,Lakepoint,-2.44
2020-09-15,Wexford,-1.67
2020-09-15,Dublin 24,2.0
2020-09-15,Dublin 16,6.36
2020-09-15,Dublin 24,9.59
2020-09-15,Dublin 16,4.65
2020-09-15,Dublin 24,16.13
2020-09-15,Dublin 24,9.64
2020-09-15,Dublin 16,8.33
2020-09-15,Dublin 14,11.11
2020-09-15,Dublin 24,5.97
2020-09-15,Dublin 24,3.23
2020-09-15,Dublin 24,4.0
2020-09-15,Dublin 24,4.0
2020-09-14,Dublin 18,9.38
2020-09-14,Co. Limerick,-1.49
2020-09-14,Dublin,-5.06
2020-09-14,Y25TX40,-4.29
2020-09-14,Tipperary,-46.15
2020-09-14,Laois,-9.64
2020-09-14,Cork,-6.0
2020-09-14,Old Road,-7.69
2020-09-14,Donegal,-3.79
2020-09-14,Dublin 7,-1.67
2020-09-14,Wexford,33.44
2020-09-14,Wexford,4.91
2020-09-14,Waterford,-3.3
2020-09-14,Co. Kildare,-7.02
2020-09-14,Limerick,-7.71
2020-09-14,Louth,11.11
2020-09-14,Wicklow,-22.99
2020-09-14,Kilkenny,-9.09
2020-09-14,West Cork,-11.11
2020-09-14,West Cork,-4.55
2020-09-14,Carlow,-3.97
2020-09-14,Tipperary,-11.36
2020-09-14,Kilkenny,-15.38
2020-09-14,Dublin 2,-7.14
2020-09-12,Cork,-9.09
2020-09-12,Leitrim,-8.03
2020-09-12,Clare,-14.73
2020-09-12,Co. Dublin,12.0
2020-09-11,Waterford,-5.04
2020-09-11,Clare,9.17
2020-09-11,Carlow,-11.24
2020-09-11,Y25RD42,3.77
2020-09-11,Dublin,-3.41
2020-09-11,Cork,-14.43
2020-09-11,Co. Galway,-25.71
2020-09-11,West Cork,5.88
2020-09-11,Dublin 3,-3.85
